,QQQ_Price_Close,QQQ_Volume,SPY_Price_Close,SPY_Volume,US10_Mid_Price,US10_Mid_Yld,US30_Mid_Price,US30_Mid_Yld,GLD_Price_Close,GLD_Volume,IWM_Price_Close,IWM_Volume,VIX
2017-04-28,135.91860525,22771946.0,238.08,63532845.0,99.6640625,2.2883,100.8359375,2.9575,120.77,9134246.0,139.06,31113926.0,10.82
2017-05-01,137.12797,24815525.0,238.68,66882521.0,99.3828125,2.3207,99.9296875,3.00345,119.67,9331809.0,139.86,20925239.0,10.11
2017-05-02,137.35784925,18345071.0,238.77,57375732.0,99.6796875,2.2865,100.4765625,2.9756,119.65,4900784.0,139.15,17993929.0,10.59
2017-05-03,136.91808025,23827550.0,238.48,73137731.0,99.3828125,2.3207,100.6171875,2.9685,117.98,10811052.0,138.29,27050258.0,10.68
2017-05-04,136.968054,14630063.0,238.76,61462732.0,99.1171875,2.3514,100.0390625,2.9979,116.79,12406931.0,138.1,25799132.0,10.46
2017-05-05,137.4677915,19330652.0,239.7,62001269.0,99.1328125,2.3496,100.1953125,2.9899,117.01,7127199.0,138.99,23806535.0,10.57
2017-05-08,137.767634,13279931.0,239.66,48385730.0,98.8046875,2.3877,99.5390625,3.0234,116.75,5438375.0,138.41,16680015.0,9.77
2017-05-09,138.247382,28426109.0,239.44,51363200.0,98.7265625,2.3968,99.5078125,3.0251,116.05,6801280.0,138.35,23988364.0,9.96
2017-05-10,138.32734,20499363.0,239.87,54293799.0,98.6171875,2.4096,99.3046875,3.0355,116.04,4290459.0,139.21,19791524.0,10.21
2017-05-11,138.21739775,27232074.0,239.38,62358346.0,99.8515625,2.3918,99.4140625,3.0299,116.5,6274368.0,138.24,28617310.0,10.6
2017-05-12,138.527235,19738629.0,238.98,53912730.0,100.4453125,2.32485,100.2890625,2.98535,116.83,5434477.0,137.51,24111218.0,10.4
2017-05-15,138.967004,20481327.0,240.3,61918937.0,100.2890625,2.3424,99.9140625,3.0044,117.14,5019589.0,138.58,31132243.0,10.42
2017-05-16,139.5466995,21785994.0,240.08,51241791.0,100.4453125,2.3248,100.1640625,2.9917,117.65,4942822.0,138.63,18520895.0,10.65
2017-05-17,135.99856325,55642178.0,235.82,172174107.0,101.3671875,2.22165,101.8828125,2.9055,119.79,13936876.0,134.89,50791166.0,15.59
2017-05-18,137.1879385,41319882.0,236.77,107047656.0,101.3203125,2.22685,102.0078125,2.8993,118.81,10341141.0,135.38,44805143.0,14.66
2017-05-19,137.767634,36730112.0,238.31,115011373.0,101.2578125,2.2337,102.0703125,2.8962,119.4,6787254.0,136.03,44450513.0,12.04
2017-05-22,138.927025,19509659.0,239.52,61010602.0,101.1015625,2.2511,101.7578125,2.9117,119.9,5132485.0,136.95,20062657.0,10.93
2017-05-23,139.0669515,19687534.0,240.05,48341683.0,100.8359375,2.2808,101.1328125,2.9428,119.14,8305434.0,137.4,16681423.0,10.72
2017-05-24,139.7066155,18323864.0,240.61,49181099.0,101.1015625,2.251,101.5390625,2.9225,119.61,7064911.0,137.49,21500658.0,10.02
2017-05-25,140.89599075,23928591.0,241.76,64071661.0,101.0703125,2.2545,101.6015625,2.9194,119.48,4105092.0,137.58,22804164.0,9.99
2017-05-26,141.1458595,13851582.0,241.71,46629905.0,101.1171875,2.2491,101.6796875,2.9155,120.54,6791648.0,137.54,20047267.0,9.81
2017-05-30,141.2657965,20306409.0,241.5,35201897.0,101.4921875,2.20715,102.4609375,2.8768,120.14,4507493.0,136.46,25544111.0,10.38
2017-05-31,141.21582275,33229404.0,241.44,91796016.0,101.5078125,2.2054,102.6796875,2.86605,120.62,10360724.0,136.32,34345409.0,10.41
2017-06-01,141.765534,20120741.0,243.36,68962024.0,101.4453125,2.21235,102.7265625,2.86375,120.72,8702543.0,138.95,44618558.0,9.89
2017-06-02,143.3846835,37222881.0,244.17,88666128.0,101.9296875,2.15825,103.84375,2.80925,121.61,7268054.0,139.85,46680183.0,9.75
2017-06-05,143.35469925,15727526.0,243.99,44698825.0,101.7109375,2.1825,103.25,2.8381,121.73,3979162.0,138.98,20808877.0,10.07
2017-06-06,142.7849985,22393024.0,243.21,50375430.0,102.0546875,2.14425,103.8203125,2.81035,123.1,10798527.0,138.85,25460884.0,10.45
2017-06-07,143.3447045,18842408.0,243.66,54144311.0,101.7734375,2.17545,103.234375,2.83885,122.45,9039175.0,138.98,20542219.0,10.39
2017-06-08,143.49462575,25417408.0,243.78,65950691.0,101.6328125,2.1911,102.9921875,2.85065,121.65,8169807.0,140.88,33956430.0,10.16
2017-06-09,139.9065105,109783737.0,243.41,132256362.0,101.5390625,2.2014,102.8828125,2.856,120.54,7054664.0,141.61,56979378.0,10.7
2017-06-12,139.15690425,104453977.0,243.36,86108102.0,101.4296875,2.2136,102.6328125,2.86825,120.36,4927375.0,141.38,34665481.0,11.46
2017-06-13,140.286311,51193010.0,244.55,60066953.0,101.4609375,2.21005,102.7109375,2.8644,120.48,3786628.0,142.1,22046771.0,10.42
2017-06-14,139.67663125,60093764.0,244.24,78602311.0,102.2109375,2.1264,104.6796875,2.76885,119.82,21124841.0,141.26,33021942.0,10.64
2017-06-15,139.05695675,55145160.0,243.77,66464888.0,101.8828125,2.16285,104.3046875,2.78685,119.32,6796668.0,140.54,27376771.0,10.9
2017-06-16,138.07747125,48087413.0,242.64,84553097.0,101.9765625,2.15225,104.5625,2.77445,119.34,6435674.0,140.19,35608427.0,10.38
2017-06-19,140.3862585,39626533.0,244.66,65123802.0,101.6328125,2.19055,104.3671875,2.7838,118.43,6786973.0,141.23,25163275.0,10.37
2017-06-20,139.286836,40935078.0,243.01,56906368.0,101.9453125,2.1556,105.3828125,2.7352,118.18,4617387.0,139.8,20111946.0,10.86
2017-06-21,140.6661115,35743366.0,242.95,55977569.0,101.8671875,2.16425,105.5078125,2.72925,118.52,4723749.0,139.45,23351393.0,10.75
2017-06-22,140.6261325,24099115.0,242.84,44148059.0,102.0234375,2.1468,105.8046875,2.71515,118.92,5811927.0,139.98,17917206.0,10.48
2017-06-23,141.165849,21654314.0,243.13,66986801.0,102.0546875,2.14315,105.8203125,2.71435,119.43,9258628.0,140.91,20772474.0,10.02
2017-06-26,140.5061955,34411094.0,243.29,56700477.0,102.1328125,2.13435,106.2265625,2.69515,118.36,6593380.0,141.08,22988281.0,9.9
2017-06-27,137.95753425,65957819.0,241.33,82247666.0,101.5234375,2.20245,105.0859375,2.7492,118.81,5759344.0,139.84,24610096.0,11.06
2017-06-28,139.9464895,57427180.0,243.49,70042599.0,101.3203125,2.22525,104.4765625,2.7784,118.9,4220130.0,141.98,25085426.0,10.03
2017-06-29,137.51776525,88769351.0,241.35,106949719.0,100.9609375,2.2657,103.7421875,2.81385,118.32,7705165.0,141.14,38794877.0,11.44
2017-06-30,137.567739,68898255.0,241.8,86820694.0,100.6328125,2.3028,103.34375,2.83325,118.02,7272612.0,140.92,22798521.0,11.18
2017-07-03,136.11850025,32797005.0,242.21,39153806.0,100.2421875,2.3472,102.7265625,2.86345,116.09,12145049.0,142.1,12968191.0,11.22
2017-07-05,137.45779675,42116584.0,242.77,54427596.0,100.4296875,2.3258,103.0390625,2.8481,116.52,7223256.0,141.59,21865451.0,11.07
2017-07-06,136.21844775,48430476.0,240.55,66115317.0,100.0703125,2.3668,101.96875,2.90085,116.47,4443390.0,139.14,30992598.0,12.54
2017-07-07,137.687676,36970402.0,242.11,57972268.0,99.9140625,2.3847,101.4765625,2.9254,115.28,11153608.0,140.49,20511003.0,11.19
2017-07-10,138.5872035,24853545.0,242.37,36663274.0,100.0234375,2.3721,101.4921875,2.9246,115.47,4970886.0,139.88,17206023.0,11.11
2017-07-11,138.97699875,31517660.0,242.19,50354614.0,100.1328125,2.3596,101.5390625,2.9222,115.62,6637939.0,140.29,16192892.0,10.89
2017-07-12,140.6261325,36045799.0,244.01,59610405.0,100.4921875,2.3186,102.2734375,2.8857,116.03,4654361.0,141.37,19358610.0,10.3
2017-07-13,140.93596975,31073595.0,244.42,39471637.0,100.2421875,2.3471,101.6171875,2.9183,115.82,4148935.0,141.49,16559268.0,9.9
2017-07-14,142.045387,34544847.0,245.56,60262692.0,100.3828125,2.331,101.6015625,2.9191,116.77,5788219.0,141.73,15465287.0,9.51
